first_name,second_name,team,minutes,clean_sheets,bps,clean_sheets_per_90,expected_goals_conceded_per_90,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,date
Gabriel,dos Santos Magalhães,1,1895,12,496,0.57,0.61,0.09,0.05,0.14,24-02-2026
Matheus,Nunes,13,1994,8,487,0.36,1.04,0.01,0.07,0.08,24-02-2026
Marc,Guéhi,13,2250,9,473,0.36,1.3,0.11,0.08,0.19,24-02-2026
Jurriën,Timber,1,2235,12,471,0.48,0.59,0.17,0.06,0.23,24-02-2026
Trevoh,Chalobah,7,2280,9,464,0.36,1.3,0.04,0.03,0.07,24-02-2026
James,Tarkowski,9,2430,9,436,0.33,1.46,0.07,0.05,0.12,24-02-2026
Virgil,van Dijk,12,2430,9,432,0.33,1.17,0.07,0.03,0.1,24-02-2026
Reece,James,7,1622,8,428,0.44,1.38,0.05,0.13,0.18,24-02-2026
Ezri,Konsa Ngoyo,2,2315,8,425,0.31,1.41,0.04,0.02,0.06,24-02-2026
Maxence,Lacroix,8,2340,9,415,0.35,1.3,0.07,0.03,0.1,24-02-2026
Ibrahima,Konaté,12,2236,9,411,0.36,1.08,0.04,0.04,0.08,24-02-2026
Marc,Cucurella Saseta,7,1885,9,409,0.43,1.32,0.08,0.13,0.21,24-02-2026
Nico,O'Reilly,13,1971,10,408,0.46,1.17,0.13,0.08,0.21,24-02-2026
Rúben,dos Santos Gato Alves Dias,13,1869,11,407,0.53,1.05,0.03,0.02,0.05,24-02-2026
Nordi,Mukiele,17,2163,7,397,0.29,1.49,0.04,0.08,0.12,24-02-2026
William,Saliba,1,1894,10,386,0.48,0.62,0.03,0.03,0.06,24-02-2026
Jan Paul,van Hecke,6,2220,6,384,0.24,1.41,0.08,0.04,0.12,24-02-2026
Neco,Williams,16,2294,6,381,0.24,1.4,0.06,0.11,0.17,24-02-2026
Matty,Cash,2,2217,7,380,0.28,1.35,0.04,0.1,0.14,24-02-2026
Daniel,Muñoz Mejía,8,1676,9,375,0.48,1.2,0.1,0.18,0.28,24-02-2026
Tyrick,Mitchell,8,2398,10,375,0.38,1.33,0.04,0.06,0.1,24-02-2026
Marcos,Senesi Barón,4,2298,7,367,0.27,1.54,0.05,0.16,0.21,24-02-2026
Chris,Richards,8,2062,9,361,0.39,1.26,0.05,0.06,0.11,24-02-2026
Micky,van de Ven,18,2239,7,355,0.28,1.41,0.11,0.01,0.12,24-02-2026
Adrien,Truffert,4,2388,7,348,0.26,1.47,0.01,0.06,0.07,24-02-2026
Michael,Kayode,5,2268,6,345,0.24,1.41,0.01,0.09,0.1,24-02-2026
Ferdi,Kadıoğlu,6,2140,6,345,0.25,1.4,0.06,0.09,0.15,24-02-2026
Pedro,Porro Sauceda,18,1820,7,344,0.35,1.26,0.02,0.14,0.16,24-02-2026
Diogo,Dalot Teixeira,14,1930,6,335,0.28,1.22,0.06,0.1,0.16,24-02-2026
Malick,Thiaw,15,2027,4,332,0.18,1.36,0.12,0.03,0.15,24-02-2026
Lewis,Dunk,6,2295,5,330,0.2,1.39,0.05,0.02,0.07,24-02-2026
Malo,Gusto,7,1555,7,327,0.41,1.49,0.08,0.08,0.16,24-02-2026
Joachim,Andersen,10,2291,5,325,0.2,1.39,0.05,0.06,0.11,24-02-2026
Michael,Keane,9,1947,6,322,0.28,1.51,0.09,0.01,0.1,24-02-2026
Nathan,Collins,5,2071,5,317,0.22,1.37,0.07,0.05,0.12,24-02-2026
Daniel,Ballard,17,1761,5,312,0.26,1.38,0.11,0.03,0.14,24-02-2026
Riccardo,Calafiori,1,1347,10,308,0.67,0.52,0.19,0.03,0.22,24-02-2026
Luke,Shaw,14,2354,6,299,0.23,1.17,0.02,0.06,0.08,24-02-2026
Omar,Alderete,17,1993,7,297,0.32,1.47,0.06,0.04,0.1,24-02-2026
Joško,Gvardiol,13,1301,6,291,0.42,1.06,0.15,0.04,0.19,24-02-2026
Jake,O'Brien,9,2186,8,290,0.33,1.53,0.03,0.03,0.06,24-02-2026
Milos,Kerkez,12,1797,5,290,0.25,1.16,0.05,0.03,0.08,24-02-2026
Cristian,Romero,18,1710,5,288,0.26,1.36,0.07,0.06,0.13,24-02-2026
Lucas,Digne,2,1309,6,282,0.41,1.39,0.04,0.15,0.19,24-02-2026
Pascal,Struijk,11,2078,4,273,0.17,1.37,0.11,0.02,0.13,24-02-2026
Kenny,Tete,10,1530,5,268,0.29,1.35,0.04,0.06,0.1,24-02-2026
Nikola,Milenković,16,2430,6,263,0.22,1.45,0.03,0.02,0.05,24-02-2026
Patrick,Dorgu,14,1329,3,261,0.2,1.27,0.13,0.1,0.23,24-02-2026
Sepp,van den Berg,5,1943,4,259,0.19,1.35,0.11,0.02,0.13,24-02-2026
Hugo,Bueno López,20,1755,3,259,0.15,1.44,0.03,0.14,0.17,24-02-2026
Joe,Rodon,11,2190,3,258,0.12,1.48,0.05,0.01,0.06,24-02-2026
Trai,Hume,17,2219,7,258,0.28,1.46,0.06,0.04,0.1,24-02-2026
Murillo,Costa dos Santos,16,1639,4,257,0.22,1.45,0.03,0.02,0.05,24-02-2026
Lewis,Hall,15,1389,3,254,0.19,1.37,0.04,0.12,0.16,24-02-2026
Vitalii,Mykolenko,9,1969,7,248,0.32,1.44,0.01,0.1,0.11,24-02-2026
Piero,Hincapié,1,1303,3,242,0.21,0.85,0.02,0.09,0.11,24-02-2026
Wesley,Fofana,7,1023,4,231,0.35,1.35,0.02,0.05,0.07,24-02-2026
Gabriel,Gudmundsson,11,2145,4,228,0.17,1.45,0.04,0.08,0.12,24-02-2026
Maxim,De Cuyper,6,1130,4,222,0.32,1.63,0.12,0.17,0.29,24-02-2026
Tino,Livramento,15,1048,5,218,0.43,0.94,0.01,0.05,0.06,24-02-2026
Pau,Torres,2,1206,4,216,0.3,1.28,0.04,0.02,0.06,24-02-2026
Santiago,Ignacio Bueno,20,1652,3,215,0.16,1.49,0.09,0.06,0.15,24-02-2026
James,Hill,4,1112,4,213,0.32,1.46,0.02,0.07,0.09,24-02-2026
El Hadji Malick,Diouf,19,1734,5,212,0.26,1.47,0.02,0.07,0.09,24-02-2026
Djed,Spence,18,1686,7,209,0.37,1.5,0.04,0.09,0.13,24-02-2026
Dan,Burn,15,1528,6,207,0.35,1.06,0.01,0.02,0.03,24-02-2026
Sven,Botman,15,1060,4,206,0.34,1.24,0.11,0.02,0.13,24-02-2026
Calvin,Bassey,10,1542,3,205,0.18,1.41,0.06,0.01,0.07,24-02-2026
Keane,Lewis-Potter,5,1131,6,199,0.48,1.62,0.16,0.08,0.24,24-02-2026
Maxime,Estève,3,2059,2,197,0.09,2.08,0.03,0.02,0.05,24-02-2026
Álex,Jiménez Sánchez,4,1675,4,196,0.21,1.72,0.05,0.05,0.1,24-02-2026
Ian,Maatsen,2,1133,2,195,0.16,1.41,0.07,0.14,0.21,24-02-2026
Ladislav,Krejcí,20,1857,3,192,0.15,1.43,0.1,0.07,0.17,24-02-2026
Jayden,Bogle,11,2110,4,188,0.17,1.35,0.08,0.05,0.13,24-02-2026
Harry,Maguire,14,858,5,187,0.52,1.25,0.08,0.01,0.09,24-02-2026
Fabian,Schär,15,1089,4,186,0.33,1.14,0.08,0.05,0.13,24-02-2026
Reinildo,Mandava,17,1427,4,181,0.25,1.26,0.01,0.03,0.04,24-02-2026
Konstantinos,Mavropanos,19,1631,3,181,0.17,1.43,0.06,0.02,0.08,24-02-2026
Aaron,Wan-Bissaka,19,1551,2,178,0.12,1.55,0,0.05,0.05,24-02-2026
Kieran,Trippier,15,1228,5,177,0.37,1.16,0,0.13,0.13,24-02-2026
Kristoffer,Ajer,5,1447,4,176,0.25,1.44,0.04,0.04,0.08,24-02-2026
Quilindschy,Hartman,3,1337,2,170,0.13,2.04,0.01,0.1,0.11,24-02-2026
Matthijs,de Ligt,14,1170,1,169,0.08,1.44,0.11,0.06,0.17,24-02-2026
Lisandro,Martínez,14,904,3,165,0.3,0.93,0.01,0.05,0.06,24-02-2026
Bafodé,Diakité,4,1275,4,164,0.28,1.59,0,0.01,0.01,24-02-2026
Lutsharel,Geertruida,17,1087,2,163,0.17,1.93,0.04,0.06,0.1,24-02-2026
Conor,Bradley,12,928,4,157,0.39,1.04,0.02,0.08,0.1,24-02-2026
Abdukodir,Khusanov,13,784,3,157,0.34,1.31,0.03,0.01,0.04,24-02-2026
Kyle,Walker,3,2281,3,153,0.12,1.99,0,0.04,0.04,24-02-2026
Yerson,Mosquera Valdelamar,20,1496,3,153,0.18,1.54,0.09,0.02,0.11,24-02-2026
Jorge,Cuenca Barreno,10,930,2,151,0.19,1.4,0,0.05,0.05,24-02-2026
Tyrone,Mings,2,782,3,148,0.35,1.48,0.07,0.04,0.11,24-02-2026
Jaka,Bijol,11,1117,1,148,0.08,1.67,0.04,0.04,0.08,24-02-2026
James,Justin,11,924,2,148,0.19,1.77,0.09,0.08,0.17,24-02-2026
Andrew,Robertson,12,635,3,145,0.43,1.19,0.03,0.13,0.16,24-02-2026
Leny,Yoro,14,1246,2,143,0.14,1.33,0.05,0.02,0.07,24-02-2026
Antonee,Robinson,10,801,2,142,0.22,1.49,0.02,0.12,0.14,24-02-2026
Ola,Aina,16,968,3,140,0.28,1.64,0.03,0.06,0.09,24-02-2026
Jeremie,Frimpong,12,538,2,136,0.33,1,0.07,0.17,0.24,24-02-2026
Bashir,Humphreys,3,879,1,135,0.1,1.87,0.02,0.05,0.07,24-02-2026
Felipe,Rodrigues da Silva,16,937,2,131,0.19,1.35,0.08,0.01,0.09,24-02-2026
Nicolò,Savona,16,1025,3,131,0.26,1.32,0.12,0.04,0.16,24-02-2026
Timothy,Castagne,10,1118,0,127,0,1.75,0.08,0.04,0.12,24-02-2026
Rico,Henry,5,1212,4,122,0.3,1.7,0.01,0.03,0.04,24-02-2026
Hjalmar,Ekdal,3,1179,2,121,0.15,1.74,0.02,0.02,0.04,24-02-2026
Joël,Veltman,6,808,1,121,0.11,1.58,0.11,0.01,0.12,24-02-2026
Kyle,Walker-Peters,19,954,1,118,0.09,1.99,0.11,0.02,0.13,24-02-2026
Tosin,Adarabioyo,7,719,2,114,0.25,1.45,0.01,0.05,0.06,24-02-2026
Cristhian,Mosquera,1,552,1,113,0.16,0.75,0,0.08,0.08,24-02-2026
Benjamin,White,1,409,3,112,0.66,1.35,0.09,0.11,0.2,24-02-2026
Jean-Clair,Todibo,19,1521,0,112,0,1.7,0.01,0.02,0.03,24-02-2026
Nathan,Aké,13,485,2,111,0.37,1.46,0.05,0.08,0.13,24-02-2026
Kevin,Danso,18,658,2,111,0.27,1.46,0,0.02,0.02,24-02-2026
Lamare,Bogarde,2,662,2,110,0.27,1.29,0,0.02,0.02,24-02-2026
Ayden,Heaven,14,637,1,110,0.14,1.12,0.05,0.02,0.07,24-02-2026
Jackson,Tchatchoua,20,1425,2,108,0.13,1.33,0.02,0.07,0.09,24-02-2026
Rayan,Aït-Nouri,13,553,2,107,0.33,1.13,0.05,0.12,0.17,24-02-2026
Noussair,Mazraoui,14,460,1,100,0.2,0.85,0.01,0.04,0.05,24-02-2026
Josh,Acheampong,7,567,2,98,0.32,2.21,0.1,0.02,0.12,24-02-2026
Jaydee,Canvot,8,442,3,95,0.61,1.89,0.12,0.03,0.15,24-02-2026
Victor,Lindelöf,2,572,1,94,0.16,1.69,0,0.01,0.01,24-02-2026
Aaron,Hickey,5,588,2,94,0.31,0.99,0.06,0.03,0.09,24-02-2026
Adam,Smith,4,727,3,86,0.37,1.54,0,0.01,0.01,24-02-2026
Ollie,Scarles,19,654,0,86,0,1.83,0.02,0.04,0.06,24-02-2026
Emmanuel,Agbadou,20,1100,0,86,0,1.49,0.05,0.03,0.08,24-02-2026
Axel,Tuanzebe,3,931,1,81,0.1,2.41,0.06,0.01,0.07,24-02-2026
Maximilian,Kilman,19,1559,1,80,0.06,1.92,0.03,0.01,0.04,24-02-2026
Lucas,Pires Silva,3,906,1,78,0.1,1.83,0.03,0.1,0.13,24-02-2026
Olivier,Boscagli,6,349,1,78,0.26,1.26,0.01,0.06,0.07,24-02-2026
Joe,Gomez,12,307,2,76,0.59,1.25,0.05,0.16,0.21,24-02-2026
Rico,Lewis,13,311,1,75,0.29,1.46,0.03,0.38,0.41,24-02-2026
Toti,Gomes,20,949,0,74,0,1.7,0,0.02,0.02,24-02-2026
Nathan,Patterson,9,237,2,68,0.76,1.35,0.01,0.02,0.03,24-02-2026
Veljko,Milosavljevic,4,367,1,63,0.25,1.08,0.04,0.05,0.09,24-02-2026
Destiny,Udogie,18,794,0,62,0,1.58,0.02,0.06,0.08,24-02-2026
Axel,Disasi,19,270,2,58,0.67,0.85,0.23,0,0.23,24-02-2026
Oleksandr,Zinchenko,16,352,0,56,0,1.28,0.02,0.09,0.11,24-02-2026
Rodrigo,Martins Gomes,20,575,0,53,0,1.18,0.17,0.05,0.22,24-02-2026
Nathaniel,Clyne,8,418,0,50,0,1.24,0.09,0.12,0.21,24-02-2026
David,Møller Wolfe,20,761,0,50,0,1.92,0.02,0.12,0.14,24-02-2026
Benoît,Badiashile Mukinayi,7,470,0,48,0,1.42,0,0.01,0.01,24-02-2026
Sebastiaan,Bornauw,11,304,1,48,0.3,1.46,0,0,0,24-02-2026
Chadi,Riad Dnanou,8,190,1,46,0.47,0.91,0.05,0.01,0.06,24-02-2026
John,Stones,13,351,1,45,0.26,1.29,0,0.02,0.02,24-02-2026
Dennis,Cirkin,17,296,1,44,0.3,1.84,0,0.01,0.01,24-02-2026
Matt,Doherty,20,644,1,43,0.14,1.68,0.01,0.03,0.04,24-02-2026
Ki-Jana,Hoever,20,423,0,38,0,1.99,0,0.08,0.08,24-02-2026
Jarrad,Branthwaite,9,318,0,37,0,1.22,0.05,0.02,0.07,24-02-2026
Myles,Lewis-Skelly,1,311,0,36,0,1.52,0.01,0.02,0.03,24-02-2026
Joe,Worrall,3,334,0,34,0,2.09,0,0.01,0.01,24-02-2026
Diego,Coppola,6,193,1,32,0.47,2.11,0,0,0,24-02-2026
Issa,Diop,10,412,0,29,0,1.79,0,0.01,0.01,24-02-2026
Ben,Davies,18,136,0,29,0,0.73,0.32,0.05,0.37,24-02-2026
Max,Alleyne,13,135,0,27,0,1.03,0.17,0.04,0.21,24-02-2026
Jorrel,Hato,7,376,0,22,0,1.71,0.06,0.08,0.14,24-02-2026
Ethan,Pinnock,5,228,0,21,0,1.26,0,0.02,0.02,24-02-2026
Oliver,Sonne,3,164,0,20,0,2.08,0.3,0.04,0.34,24-02-2026
Radu,Drăgușin,18,334,0,17,0,2.18,0.05,0,0.05,24-02-2026
Ezra,Mayers,19,112,0,15,0,2.25,0.1,0.35,0.45,24-02-2026
Jenson,Seelt,17,133,0,11,0,0.9,0,0.01,0.01,24-02-2026
Igor Julio,dos Santos de Paulo,6,103,0,10,0,4.07,0,0,0,24-02-2026
Borna,Sosa,8,53,0,10,0,1.41,0,0.1,0.1,24-02-2026
Séamus,Coleman,9,11,0,10,0,1.96,0,0,0,24-02-2026
Jair,Paula da Cunha Filho,16,90,0,9,0,3.28,0,0,0,24-02-2026
Luke,O'Nien,17,22,0,6,0,3.52,0,0,0,24-02-2026
Pedro,Cardoso de Lima,20,3,0,5,0,23.7,0,0,0,24-02-2026
Tyler,Fredricson,14,2,0,4,0,13.5,0,0,0,24-02-2026
Arthur,Masuaku,17,125,0,4,0,1.5,0.05,0.06,0.11,24-02-2026
Tyrell,Malacia,14,2,0,3,0,13.5,0,0,0,24-02-2026
Luca,Netz,16,14,0,3,0,0,0,2.31,2.31,24-02-2026
Jun'ai,Byfield,18,1,0,3,0,0,0,0,0,24-02-2026
Julio,Soler Barreto,4,34,0,2,0,4.29,0,0,0,24-02-2026
Zach,Abbott,16,120,0,1,0,2.35,0,0.01,0.01,24-02-2026
João Victor,de Souza Menezes,18,35,0,1,0,2.67,0,0,0,24-02-2026
Jakub,Kiwior,1,0,0,0,0,0,0,0,0,24-02-2026
Brayden,Clarke,1,0,0,0,0,0,0,0,0,24-02-2026
Maldini,Kacurri,1,0,0,0,0,0,0,0,0,24-02-2026
Josh,Nichols,1,0,0,0,0,0,0,0,0,24-02-2026
Marli,Salmon,1,0,0,0,0,0,0,0,0,24-02-2026
Andrés,García,2,33,0,0,0,4.15,0,0.03,0.03,24-02-2026
Álex,Moreno Lopera,2,0,0,0,0,0,0,0,0,24-02-2026
Lino,da Cruz Sousa,2,0,0,0,0,0,0,0,0,24-02-2026
Yasin,Özcan,2,0,0,0,0,0,0,0,0,24-02-2026
Triston,Rowe,2,0,0,0,0,0,0,0,0,24-02-2026
Travis,Patterson,2,0,0,0,0,0,0,0,0,24-02-2026
Leon,Routh,2,0,0,0,0,0,0,0,0,24-02-2026
TJ,Carroll,2,0,0,0,0,0,0,0,0,24-02-2026
Connor,Roberts,3,0,0,0,0,0,0,0,0,24-02-2026
Hannes,Delcroix,3,0,0,0,0,0,0,0,0,24-02-2026
Owen,Dodgson,3,0,0,0,0,0,0,0,0,24-02-2026
Jordan,Beyer,3,0,0,0,0,0,0,0,0,24-02-2026
Shurandy,Sambo,3,0,0,0,0,0,0,0,0,24-02-2026
Illia,Zabarnyi,4,0,0,0,0,0,0,0,0,24-02-2026
Matai,Akinmboni,4,0,0,0,0,0,0,0,0,24-02-2026
Owen,Bevan,4,0,0,0,0,0,0,0,0,24-02-2026
Julián,Araujo Zúñiga,4,0,0,0,0,0,0,0,0,24-02-2026
Chris,Mepham,4,0,0,0,0,0,0,0,0,24-02-2026
Mads,Roerslev Rasmussen,5,0,0,0,0,0,0,0,0,24-02-2026
Benjamin,Arthur,5,0,0,0,0,0,0,0,0,24-02-2026
Benjamin,Fredrick,5,0,0,0,0,0,0,0,0,24-02-2026
Kim,Ji-soo,5,0,0,0,0,0,0,0,0,24-02-2026
Jayden,Meghoma,5,0,0,0,0,0,0,0,0,24-02-2026
Pervis,Estupiñán Tenorio,6,0,0,0,0,0,0,0,0,24-02-2026
Tariq,Lamptey,6,0,0,0,0,0,0,0,0,24-02-2026
Adam,Webster,6,0,0,0,0,0,0,0,0,24-02-2026
Eiran,Cashin,6,0,0,0,0,0,0,0,0,24-02-2026
Jacob,Slater,6,0,0,0,0,0,0,0,0,24-02-2026
Charlie,Tasker,6,0,0,0,0,0,0,0,0,24-02-2026
Freddie,Simmonds,6,0,0,0,0,0,0,0,0,24-02-2026
Levi,Samuels Colwill,7,0,0,0,0,0,0,0,0,24-02-2026
Aarón,Anselmino,7,0,0,0,0,0,0,0,0,24-02-2026
Rob,Holding,8,0,0,0,0,0,0,0,0,24-02-2026
Caleb,Kporha,8,0,0,0,0,0,0,0,0,24-02-2026
Dean,Benamar,8,0,0,0,0,0,0,0,0,24-02-2026
George,King,8,0,0,0,0,0,0,0,0,24-02-2026
Danny,Imray,8,0,0,0,0,0,0,0,0,24-02-2026
Roman,Dixon,9,0,0,0,0,0,0,0,0,24-02-2026
Reece,Welch,9,0,0,0,0,0,0,0,0,24-02-2026
Adam,Aznou,9,0,0,0,0,0,0,0,0,24-02-2026
Elijah,Campbell,9,0,0,0,0,0,0,0,0,24-02-2026
Samuel,Amissah,10,0,0,0,0,0,0,0,0,24-02-2026
Isaac,Schmidt,11,0,0,0,0,0,0,0,0,24-02-2026
Konstantinos,Tsimikas,12,0,0,0,0,0,0,0,0,24-02-2026
Amara,Nallo,12,0,0,0,0,0,0,0,0,24-02-2026
Rhys,Williams,12,0,0,0,0,0,0,0,0,24-02-2026
Calvin,Ramsay,12,0,0,0,0,0,0,0,0,24-02-2026
Giovanni,Leoni,12,0,0,0,0,0,0,0,0,24-02-2026
Wellity,Lucky,12,0,0,0,0,0,0,0,0,24-02-2026
Manuel,Akanji,13,0,0,0,0,0,0,0,0,24-02-2026
Vitor,de Oliveira Nunes dos Reis,13,0,0,0,0,0,0,0,0,24-02-2026
Stephen,Mfuni,13,0,0,0,0,0,0,0,0,24-02-2026
Diego,León Blanco,14,0,0,0,0,0,0,0,0,24-02-2026
Harry,Amass,14,0,0,0,0,0,0,0,0,24-02-2026
Godwill,Kukonki,14,0,0,0,0,0,0,0,0,24-02-2026
Jamaal,Lascelles,15,19,0,0,0,2.61,0.19,0,0.19,24-02-2026
Harrison,Ashby,15,0,0,0,0,0,0,0,0,24-02-2026
Miodrag,Pivaš,15,0,0,0,0,0,0,0,0,24-02-2026
Matt,Targett,15,0,0,0,0,0,0,0,0,24-02-2026
Leo,Shahar,15,0,0,0,0,0,0,0,0,24-02-2026
David,Mota Veiga Teixeira do Carmo,16,0,0,0,0,0,0,0,0,24-02-2026
Omar,Richards,16,0,0,0,0,0,0,0,0,24-02-2026
Willy,Boly,16,0,0,0,0,0,0,0,0,24-02-2026
Luis Eduardo,Soares da Silva,16,0,0,0,0,0,0,0,0,24-02-2026
Aji,Alese,17,0,0,0,0,0,0,0,0,24-02-2026
Joe,Anderson,17,0,0,0,0,0,0,0,0,24-02-2026
Leo Fuhr,Hjelde,17,0,0,0,0,0,0,0,0,24-02-2026
Niall,Huggins,17,0,0,0,0,0,0,0,0,24-02-2026
Zak,Johnson,17,0,0,0,0,0,0,0,0,24-02-2026
Timothée,Pembélé,17,0,0,0,0,0,0,0,0,24-02-2026
Jenson,Jones,17,0,0,0,0,0,0,0,0,24-02-2026
Ashley,Phillips,18,0,0,0,0,0,0,0,0,24-02-2026
Takai,Kōta,18,0,0,0,0,0,0,0,0,24-02-2026
Luka,Vušković,18,0,0,0,0,0,0,0,0,24-02-2026
James,Rowswell,18,0,0,0,0,0,0,0,0,24-02-2026
Emerson,Palmieri dos Santos,19,0,0,0,0,0,0,0,0,24-02-2026
Kaelan,Casey,19,0,0,0,0,0,0,0,0,24-02-2026
Airidas,Golambeckis,19,0,0,0,0,0,0,0,0,24-02-2026
Bastien,Meupiyou Menadjou,20,0,0,0,0,0,0,0,0,24-02-2026
Alfie,Pond,20,0,0,0,0,0,0,0,0,24-02-2026
Saheed,Olagunju,20,0,0,0,0,0,0,0,0,24-02-2026
Mamadou,Sarr,7,2,0,-1,0,13.05,0,0,0,24-02-2026
Alex,Murphy,15,1,0,-1,0,24.3,0,0,0,24-02-2026
Nayef,Aguerd,19,180,0,-1,0,1.71,0.05,0.02,0.07,24-02-2026
Sam,Byram,11,7,0,-2,0,10.16,0,0,0,24-02-2026
Emil,Krafth,15,45,0,-8,0,0.5,0,0,0,24-02-2026
